trains_train_id,train_no,train_name
206,12511,Rapti Sagar Express
207,13352,Dhanbad Express
208,13351,Dhn Alappuzha E
209,12522,Raptisagar Express
210,55116,Sv Cpr Passenger 
211,12656,Navajivan Express
212,12655,Navjeevan Express
213,12603,Hyderabad Express
214,12604,Chennai Express
215,22631,Madurai Bikaner Anuvrat Express
216,12968,Jp Madras Express
217,16526,Kanyakumari Express
218,16525,Bangalore Express
219,12592,Gorakhpur Express
220,22684,Lko Ypr Superfast
221,18638,Ypr Hatia Express
222,18637,Hte Ypr Express
223,17316,Vlnk Vsg Express
224,12742,Pnbe Vsg Expres 
225,16508,Jodhpur Express
226,16533,Bgkt Sbc Express
227,22691,Rajdhani Express
228,12785,Bangalore Express
229,12975,Jaipur Express
230,12976,Jp Mysore Express
231,12512,Raptisagar Express
232,12511,Rapti Sagar Express
233,64207,Lucknow Kanpur MEMU 
234,13351,Dhn Alappuzha E 
235,16525,Bangalore Express 
236,12742,Pnbe Vsg Expres 
237,19423,GIMB Humsafar
238,16333,Veraval Trivandrum VRL TVC Express
239,17229,Sabari Express
240,17230,Sabari Express
241,22633,Nizamuddin Express
242,12432,Trivndrm Rajdhani
243,12876,Neelachal Exp
244,12875,Puri New Delhi Neelachal Exp
245,15910,Avadh Assam Express
246,12553,Vaishali Exp
247,19168,Sabarmati Exp
248,19167,Sabarmati Exp
249,12592,Gorakhpur Express
250,12591,Gkp Ypr Exp
251,14853,Marudhar Exp
252,19715,Jp Ljn Exp
253,15027,Maurya Exp
254,15028,Maurya Exp
255,13425,Mldt St Exp
256,13426,St Malda Town Exp
257,7006,Cct Hyb Exp
258,7005,Hyb Rxl Spl Exp
259,18631,Rnc Garibnwaz Exp
260,18632,Rnc Garib Nawaz Exp
261,15269,Mfp-Adi Jansadharan Exp
262,15270,Adi-Mfp Jansadharan Exp
263,12521,Rapti Sagar Express
264,12522,Rapti Sagar Express
265,15269,Mfp-Adi Jansadharan Exp
266,15270,Adi-Mfp Jansadharan Exp
267,17017,Rjt Sc Exp
268,17018,Rajkot Exp
269,12957,Swarna Jayanthi Rajdhani
270,12916,Ashram Exp
271,12975,Jaipur Express
272,12976,jp Mysore Express
