trains_train_id,starting_state,ending_state,train_no,train_name,duration
86,Gujarat,Himachal Pradesh,12214,Ypr Duronto Exp,14h 28m
87,Himachal Pradesh,Telangana,12724,Andhra Pradesh Exp,26h 40m
88,Telangana,Himachal Pradesh,12723,Andhra Pradesh Exp,26h 25m
89,Himachal Pradesh,Rajasthan,12414,Jammu Aii Express,13h 40m
90,Rajasthan,Himachal Pradesh,12413,Aii Jat Express,13h 35m
91,West Bengal,Punjab,12311,Hwh Dli Klk Mai,24h 55m
92,Punjab,West Bengal,12312,Kalka Mail Express,24h 40m
93,West Bengal,Meghalaya,15959,Kamrup Express,35h 35m
94,Meghalaya,West Bengal,15960,Kamrup Express,35h 45m
95,West Bengal,Maharashtra,12870,Hwh Cstm Express,32h 25m
96,Maharashtra,West Bengal,12869,Howrah Superfast Express,32h 35m
97,West Bengal,Goa,12253,Anga Express,33h 10m
98,Goa,West Bengal,12254,Anga Express,33h 20m
99,West Bengal,TamilNadu,12841,Coromandal Express,28h 15m
100,TamilNadu,West Bengal,12840,Howrah Mail,28h 10m
101,West Bengal,Karnataka,12245,Hwh Ypr Duronto,29h 45m
102,Karnataka,West Bengal,12246,Duronto Express,29h 40m
103,West Bengal,Kerala,22642,Shm Tvc Superfast Express,44h 55m
104,Kerala,West Bengal,22641,Shalimar Express,44h 40m
105,West Bengal,Uttar Pradesh,12325,Koaa Nldm Express,39h 15m
106,Uttar Pradesh,West Bengal,12326,Nldm Koaa Express,39h 10m
107,West Bengal,Jharkhand,12019,Shatabdi Express,7h 45m
108,Jharkhand,West Bengal,12020,Shatabdi Express,7h 20m
109,West Bengal,Bihar,13133,Sdah Bsb Express,14h 40m
110,Bihar,West Bengal,13132,Anvt Koaa Express,14h 20m
111,West Bengal,Gujarat,12906,Hwh Pbr Okhaex,43h 45m
112,Gujarat,West Bengal,12905,Pbr Howrah Express,43h 20m
113,West Bengal,Telangana,12514,Ghy Sc Express,46h 40m
114,Telangana,West Bengal,12513,Sc Ghy Express,46h 20m
115,West Bengal,Rajasthan,12496,Pratap Express,37h 15m
116,Rajasthan,West Bengal,12495,Bkn Koaa Superfast,37h 10m
117,Punjab,Meghalaya,15904,Cdg Dbrg Express,61h 20m
118,Meghalaya,Punjab,15903,Dbrg Cdg Express,61h 10m
119,Punjab,Maharashtra,12450,Goa Smprk Exp,36h 25m
120,Maharashtra,Punjab,12449,Goa Smprk Exp,36h 46m
121,Punjab,Goa,12450,Goa Smprk Exp,37h 10m
122,Goa,Punjab,12449,Goa Smprk Exp,37h 28m
123,Punjab,TamilNadu,22688,Cdg Mdu Superfast Exp,48h 5m
124,TamilNadu,Punjab,22687,Sre-cdg Link Exp,48h 18m
125,Punjab,Karnataka,22686,Ypr SKranti Exp,51h 5m
126,Karnataka,Punjab,22685,Ypr SKranti Exp,51h 37m
127,Punjab,Kerala,12218,Kerla s Kranti,35h 10m
128,Kerala,Punjab,12217,Sampark Kranthi,35h 32m
129,Punjab,Uttar Pradesh,12232,Cdg Lko Exp,11h 40m
130,Uttar Pradesh,Punjab,12231,Cdg Lko Exp,11h 20m
131,Punjab,Jharkhand,12878,Ndls Rnc G Rath,18h 40m
132,Jharkhand,Punjab,12877,Rnc Garib Rath,18h 30m
133,Punjab,Bihar,13008,Rnc Garib Rath,25h 49m
134,Bihar,Punjab,13007,U Abhatoofan Exp,25h 54m
135,Punjab,Gujarat,19718,Cdg Jp Intercity,10h 23m
136,Gujarat,Punjab,19717,Jp Cdg Intercity,10h 42m
137,Punjab,Telangana,22706,Hyderabad Express,36h 28m
138,Telangana,Punjab,22705,Ludhiana Express,36h 28m
139,Punjab,Rajasthan,19718,CDG JP Intercit,10h 55m
140,Rajasthan,Punjab,19613,Punjab Express,10h 50m
141,Meghalaya,Maharashtra,15646,GHY LTT Express,2d 2h
142,Maharashtra,Meghalaya,97209,Mumbai CSMT Dombivli Express,47h 16m
143,Meghalaya,Goa,10104,Mandovi Express,2d 9h
144,Goa,Meghalaya,12520,Kyq Ltt Ac Express,2d 9h
145,Meghalaya,TamilNadu,12552,Kyq Ypr Ac Express,46h 52m
146,TamilNadu,Meghalaya,12507,Guwahati Express,47h 9m
147,Meghalaya,Karnataka,12510,Ght Sbc Express,2d 7h
148,Karnataka,Meghalaya,12509,Guwahati Express,2d 8h
